session_pseudo_id,turn_index,role,message_type,content_redacted,redaction_pending,created_at
"S0001","1","user","text","hey um not really sure how this works but my roommate said talking helps. rough couple weeks honestly",false,"2026-06-12T01:07:00Z"
"S0001","2","assistant","text","Hi — I’m an AI mental health support assistant, not a licensed therapist or doctor. I can’t diagnose, but I can listen and help you sort through what’s been going on and offer coping ideas. This chat is private, and you never have to share anything you’re not comfortable with. If you’re in immediate danger or thinking about harming yourself, please call/text **988** (US/Canada) or text **HOME** to **741741**, or call **911**.

When you say it’s been a rough couple of weeks, what’s been the hardest part—something specific that happened, or more like a build-up of stress?",false,"2026-06-12T01:08:30Z"
"S0001","3","user","text","yeah it's been like, a mix of everything honestly. the breakup was super tough, and now i can't focus on my classes at all, which is stressing me out even more. like, i keep thinking about how my grades are gonna tank and it just makes everything worse, you know?",false,"2026-06-12T01:10:00Z"
"S0001","4","assistant","text","That makes a lot of sense. A breakup can take up a huge amount of emotional bandwidth, and then school pressure piles on top of it—so you end up stuck in a loop: feel awful → can’t focus → worry about grades → feel even worse.

To understand where to start, which part is hitting you hardest day-to-day right now:

1) the grief/rumination about the breakup,  
2) the inability to focus (like your brain won’t cooperate), or  
3) the fear spiral about grades and the future?

And when you try to study, what tends to happen—do you get distracted, feel anxious in your body, reread without absorbing, or avoid starting altogether?",false,"2026-06-12T01:14:30Z"
"S0001","5","user","text","idk, it’s probably like a mix of all three honestly, but the grades thing is really eating at me. when i sit down to study, my mind just kinda goes blank, like i can’t even focus on a single sentence. then i start stressing about how i’m gonna fail and it just spirals from there.",false,"2026-06-12T01:16:00Z"
"S0001","6","assistant","text","That “blank mind → panic → spiral” pattern is really common when you’re under emotional strain. It’s not that you’re lazy or incapable—your brain is basically switching into threat mode (“I’m going to fail”) and it makes thinking and memory harder in the moment.

A couple quick questions to map this out:

- When your mind goes blank, do you notice any physical anxiety signs (tight chest, racing heart, nausea), or is it more numb/shut-down?
- What happens next most often: you keep staring at the page, you switch to your phone, or you give up and leave?

Also, just to gauge the level of strain: over the last two weeks, how has your sleep been—worse than usual, about the same, or better?",false,"2026-06-12T01:17:30Z"
"S0001","7","user","text","yeah, my chest gets tight for sure, like it's hard to breathe sometimes. usually i just end up switching to my phone, scrolling or something, which doesn’t help at all lol. and sleep has been worse, like i can’t fall asleep or stay asleep, it's a mess.",false,"2026-06-12T01:19:00Z"
"S0001","8","assistant","text","Tight chest + feeling like it’s hard to breathe, then reaching for the phone makes a lot of sense: your body is sounding an alarm, and scrolling is a quick way to escape the discomfort for a minute. The problem is it also keeps you from getting traction, which feeds the “I’m failing” story.

Before we go further: when the breathing gets hard/tight, does it ever get so intense you worry you might pass out or that something is medically wrong? (If it’s new/severe, it’s worth getting checked out—stress can cause it, but you deserve to be safe.)

If it’s mostly anxiety/pressure in the moment, we can work with the spiral itself. When you sit down and your mind blanks, what’s the *exact* thought that shows up first—something like “I’m going to fail,” “I can’t do this,” or “I’ve already ruined my semester”?",false,"2026-06-12T01:23:30Z"
"S0001","9","user","text","nah, it’s not that intense, just like annoying and uncomfortable. i usually think something like “i can’t do this” or “why can’t i focus?” when i sit down, which just makes everything feel worse, you know?",false,"2026-06-12T01:25:00Z"
"S0001","10","assistant","text","Yeah—those thoughts are the kind that *sound* like motivation, but they usually land like a threat: “Something is wrong with me,” which spikes anxiety and makes focusing even harder.

If you want something concrete to try right now, we can do a quick CBT-style reset for the moment you sit down to study:

1) **Name the pattern (10 seconds):**  
   “My brain is doing the blank-out + panic loop. This is stress, not proof I can’t learn.”

2) **Swap in a more usable sentence (pick one):**  
   - “I don’t need focus for an hour—I need 5 minutes.”  
   - “Confused is a normal first step.”  
   - “I can start badly and still make progress.”

3) **Tiny start (5 minutes max):** choose *one* of these:
   - read just **one paragraph** and underline key terms  
   - write **3 bullet points** of what you remember (even if it’s messy)  
   - do **1 practice question** and check the answer

The point is to break the “I must feel focused to begin” rule. Starting small often brings focus *after*.

Which of those tiny-start options fits your class best right now—and what subject are we talking about?",false,"2026-06-12T01:26:30Z"
"S0001","11","user","text","honestly, i think just reading a paragraph and underlining key terms could work for me. it’s for my anatomy class, which is pretty intense right now. but like, i’ll definitely give it a shot, thanks for the tips.",false,"2026-06-12T01:28:00Z"
"S0001","12","assistant","text","Reading one paragraph + underlining key terms is a solid choice for anatomy—structured, specific, and not too overwhelming.

To make it even easier to start, you could set it up like this:

- **Define “success” as:** *one paragraph + 3 key terms underlined* (then you’re allowed to stop or continue)
- **Then one extra step (optional):** after that paragraph, write **one sentence** in your own words: “This paragraph is basically about ___.”

Since sleep is a mess too (which absolutely affects memory and focus), what’s the biggest sleep issue right now: **can’t fall asleep**, **waking up a lot**, or **waking up too early**?

And for anatomy specifically, when you freeze, is it more from **too many details/vocab**, or from **worry that you’re behind**?",false,"2026-06-12T01:29:30Z"
"S0002","1","user","text","cant sleep again. keep replaying everything at like [REDACTED: TIME]",false,"2026-06-14T03:07:00Z"
